Sl / No,District Name,Total Slums,Declared Slums,Identified Slums ,Total Families,SC,ST,Others,Total Population
1,2,3,4,5,6,7,8,9,10
1,Bengaluru urban,434,409,25,321296,582999,275743,677803,1536545
2,Bengaluru Rural,33,33,0,8196,20538,13382,20514,54434
3,Bagalakote,100,84,16,8152,18280,5225,24255,47760
4,Ballari,198,185,13,30464,39857,25183,89278,154318
5,Belagavi,193,193,0,21589,55314,15424,57205,127943
6,Bidar,68,68,0,15306,32313,13024,38191,83528
7,Chikkaballapura,39,39,0,4664,12468,10850,16240,39558
8,Chikkamagaluru,54,54,0,9996,13205,14030,28742,55977
9,Chithradurga,63,63,0,14164,17918,10242,47659,75819
10,Chamarajangara,68,66,2,8311,15690,14744,20118,50552
11,Davanagere,81,81,0,14924,10200,8364,52907,71471
12,Dharawada,128,127,1,25835,78790,17994,132389,229173
13,Dakshina kannada,23,23,0,3462,4804,2713,13792,21309
14,Gadaga,87,87,0,7322,11056,4964,27590,43610
15,Hasana,105,105,0,35241,98606,27723,79878,206207
16,Haveri,96,96,0,28997,32773,16969,103244,152986
17,Kalburgi,147,147,0,7632,11264,6689,27209,45162
18,Kodagu,10,10,0,1036,1988,181,1512,3681
19,Kolara,61,61,0,9950,25137,3635,29453,58225
20,Koppala,45,45,0,12446,19807,11177,39247,70231
21,Mandya,76,55,21,8796,14790,5368,30824,50982
22,Mysore,114,114,0,15967,29075,8825,51934,89834
23,Raichur,82,82,0,20283,37558,16969,54886,109413
24,Ramanagara,52,51,1,3559,13414,6599,7370,27383
25,Shivamoga,166,164,2,28884,16763,10950,116706,144419
26,Tumakuru,130,126,4,17050,40682,6022,82948,129652
27,Uttara kannada,40,36,4,5495,6250,2539,23684,32473
28,Udupi,17,17,0,3474,13060,2289,12019,27368
29,Vijayapura,91,80,11,48104,92725,17015,148780,258520
30,Yadagiri,49,49,0,5611,19430,13303,18734,51467
,TOTAL,2850,2750,100,746206,1386754,588135,2075111,4050000
